date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:02	150997/150997	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2008:05:20%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html	(from )
15:55:02	135/135	---M-Z	200	added ('OK')	text/plain	date:Sun,%2013%20Aug%202017%2008:05:20%20GMT	http://myfreeinstagramfollowers.blogspot.com/robots.txt		(from )
15:55:03	37752/37752	---MC-	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202017%2022:51:17%20GMT	https://www.blogger.com/static/v1/widgets/763856997-widget_css_bundle.css	C:/My%20Web%20Sites/blogger/www.blogger.com/static/v1/widgets/763856997-widget_css_bundle.css	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:04	32445/32445	---M--	200	added ('OK')	image/png	etag:%22v11cc%22	https://3.bp.blogspot.com/-Y45hd9it5H0/WMKmp9281hI/AAAAAAAAEcE/i2N3_-8IVMQv0Xwre1yWPhNaOVBbAXEfQCLcB/s1600/head-logo.png	C:/My%20Web%20Sites/blogger/3.bp.blogspot.com/-Y45hd9it5H0/WMKmp9281hI/AAAAAAAAEcE/i2N3_-8IVMQv0Xwre1yWPhNaOVBbAXEfQCLcB/s1600/head-logo.png	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:08	142452/142452	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:44%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/blockbullets.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/blockbullets.4.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:10	142440/142440	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:46%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/searchicon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/searchicon.5.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:12	142452/142452	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:48%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/postdateicon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/postdateicon.6.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:13	142464/142464	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:51%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/postauthoricon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/postauthoricon.7.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:15	142452/142452	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:52%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/postediticon.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/postediticon.8.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
15:55:16	142446/142446	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202017%2007:54:53%20GMT	http://myfreeinstagramfollowers.blogspot.com/2017/06/images/postbullets.png	C:/My%20Web%20Sites/blogger/myfreeinstagramfollowers.blogspot.com/2017/06/images/postbullets.9.delayed	(from http://myfreeinstagramfollowers.blogspot.com/2017/06/freeinstagramfolowers.html)
